game_title,platform,avg_price_usd,price_record_count
bubbelsche deluxe,PS,0.39,2
a frog game,PS,0.39,2
dodge these balls,PS,0.39,2
mochi mochi boy,PS,0.49,2
spectrewoods,PS,0.49,2
ascendshaft,PS,0.49,2
bouncy bullets,PS,0.49,2
ayleouna,PS,0.49,2
lizard lady vs the cats platinum edition,PS,0.49,2
welcome to the world of zj the ball (visual novel),PS,0.49,2
card racing simulator: otterrific arcade,PS,0.49,2
loot hero dx,PS,0.49,2
lady in a leotard with a gun,PS,0.49,2
birthday of midnight,PS,0.49,2
welcome to jane's story in the world of project: summer ice (visual novel),PS,0.49,3
bird game +,PS,0.49,2
gunducky industries,PS,0.49,2
midnight deluxe,PS,0.49,2
dragons in space,PS,0.49,2
ascendshaft and endless shaft,PS,0.49,2
autumn's journey,PS,0.49,2
gunducky industries++,PS,0.49,2
welcome to mark's story in the world of project: summer ice (visual novel),PS,0.49,2
hoodie survivor,PS,0.49,2
newtonian inversion,PS,0.49,2
tilting tiles: micro challenge,PS,0.49,2
the voices stories,PS,0.49,2
brain breaker,PS,0.49,2
odd color out,PS,0.59,2
blackguards 2,PS,0.59,2
goblin in the castle,PS,0.59,3
scary bucketman,PS,0.59,3
space kabaam 2,PS,0.69,2
space kabaam,PS,0.69,2
space kabaam 3,PS,0.69,2
mr trials,PS,0.74,2
color snake,PS,0.74,2
dead island retro revenge,PS,0.74,2
snake seeker,PS,0.74,3
heaven jump,PS,0.74,3
halloween bubble shooter,PS,0.75,47
dragon fun classic,PS,0.77,47
west slot machine,PS,0.79,3
sumo rumble,PS,0.79,2
one more dungeon,PS,0.79,2
ice crush 10.000 bc,PS,0.79,2
stroke the dog,PS,0.87,47
alterity experience,PS,0.87,47
dissection,PS,0.88,47
blind postman,PS,0.92,48
world explorer challenge,PS,0.97,45
frog jumper,PS,0.97,45
baseball (challenge mode edition) - breakthrough gaming arcade,PS,0.99,2
bowling (story three) (pammy version) - project: summer ice,PS,0.99,2
elliot (story three) - my first date rpg,PS,0.99,2
skateboarding 2 - breakthrough gaming arcade,PS,0.99,2
zj the ball challenge (level 2c),PS,0.99,2
bowling (story four) (jane version) - project: summer ice,PS,0.99,2
learn to play vol. 5 - break the blocks,PS,0.99,2
softball (4 player cooperation edition) - breakthrough gaming arcade,PS,0.99,3
granblue fantasy: relink,PS,0.99,45
axe ace,PS,0.99,2
racing (2 player cooperation edition) (challenge mode) - breakthrough gaming arcade,PS,0.99,2
welcome to the world of nik and kit (visual novel),PS,0.99,2
welcome to the world of zippy the circle (visual novel),PS,0.99,2
zj the ball (level 1),PS,0.99,2
bowling (story two) (mark version) - project: summer ice,PS,0.99,2
run to infinity,PS,0.99,2
skateboarding - breakthrough gaming arcade,PS,0.99,2
risky roads,PS,0.99,2
zj the ball (level 3),PS,0.99,2
chickens on the road,PS,0.99,2
chaos on deponia,PS,0.99,2
learn to play vol. 2 - a simple shooter,PS,0.99,2
feed my raptor,PS,0.99,2
furry tangram lite,PS,0.99,2
ice hockey - breakthrough gaming arcade,PS,0.99,2
stealth inc 2: a game of clones,PS,0.99,2
felix the reaper,PS,0.99,2
space 2 (3 player cooperation edition) - breakthrough gaming arcade,PS,0.99,2
color dodge,PS,0.99,2
suika animal kingdom,PS,0.99,2
soccer (challenge mode edition) - breakthrough gaming arcade,PS,0.99,2
daylight dread,PS,0.99,3
"zippy the circle challenge (level 11c, level 12c, and level 13c)",PS,0.99,2
welcome to james' story in the world of our church and halloween (visual novel),PS,0.99,2
welcome to scott's story in the world of our church and halloween (visual novel),PS,0.99,2
heritage of eternal splitting,PS,0.99,2
learn katakana!!,PS,0.99,3
meadow gallop,PS,0.99,2
pinball (machine #1) - our church and halloween rpg,PS,0.99,3
baseball bout: otterrific arcade,PS,0.99,2
super ninja miner,PS,0.99,2
titan attacks!,PS,0.99,2
pinball (2 player cooperation edition) - breakthrough gaming arcade,PS,0.99,2
typingcommand,PS,0.99,3
bowling (story three) (mark version) - project: summer ice,PS,0.99,2
nik and kit - nik's adventure,PS,0.99,2
baseball (3 player cooperation edition) - breakthrough gaming arcade,PS,0.99,2
space 2 - breakthrough gaming arcade,PS,0.99,2
thomas was alone,PS,0.99,2
bigfoot's journey,PS,0.99,2
worm war greengrocer,PS,0.99,2
paku paku,PS,0.99,2
pammy - project: summer ice pinball,PS,0.99,2
pixicharm - dinoluship,PS,0.99,3
catch the bowling balls - breakthrough gaming arcade,PS,0.99,2
dead land vr,PS,0.99,2
baseball (2 player cooperation edition) (challenge mode) - breakthrough gaming arcade,PS,0.99,2
zj the ball (level 4),PS,0.99,2
bowling (story one) (mark version) - project: summer ice,PS,0.99,2
forgiveness rpg: the first chapter (part three),PS,0.99,2
united states capitals - breakthrough gaming activity center,PS,0.99,2
tokyo run,PS,0.99,2
criss cross bomb,PS,0.99,3
olympic 2024 journey,PS,0.99,2
alone musc,PS,0.99,2
cyber engine,PS,0.99,2
