game_title,steam_price,ps_price,xbox_price,ps_vs_steam_gap_pct,xbox_vs_steam_gap_pct
crimson keep,0.99,19.99,19.99,1919.19,1919.19
'n verlore verstand,0.82,14.99,14.99,1728.05,1728.05
pretty girls panic!,1.54,23.93,,1453.9,
falling blocks,0.89,11.54,,1196.63,
musynx,2.79,29.99,,974.91,
football game,3.31,35.52,4.99,973.11,50.76
earth's dawn,3.21,29.99,29.99,834.27,834.27
sokolab,1.61,14.34,4.99,790.68,209.94
ubermosh:omega,0.59,4.99,,745.76,
zombie town,0.97,7.99,,723.71,
zombo buster rising,1.9,15.52,4.99,716.84,162.63
super box delivery: beyond the horizon,4.01,32.7,4.99,715.46,24.44
fun with the fitzgeralds,0.87,6.99,,703.45,
save the ninja clan,0.99,7.78,2.99,685.86,202.02
delicious! pretty girls mahjong solitaire,0.79,5.99,,658.23,
runner,2.1,14.99,,613.81,
ultimate racing 2d,1.4,9.99,4.99,613.57,256.43
ninja run,0.99,6.99,,606.06,
firefighters - the simulation,4.5,29.99,,566.44,
joe's diner,3.01,19.99,,564.12,
"i, zombie",1.26,8.0,3.99,534.92,216.67
dungeons & bombs,0.79,4.99,4.99,531.65,531.65
virtuous western,1.57,9.78,4.99,522.93,217.83
koi,0.83,4.99,,501.2,
another sight,4.99,29.99,29.99,501.0,501.0
tokyo twilight ghost hunters daybreak: special gigs,7.49,44.99,,500.67,
sokowinter,0.84,4.99,4.99,494.05,494.05
pixel cafe,9.8,57.99,12.99,491.73,32.55
wizodd,3.88,22.43,4.99,478.09,28.61
it's kooky,2.52,14.49,9.99,475.0,296.43
viking days,0.87,4.99,,473.56,
cybxus heart,0.87,4.99,,473.56,
ball lab,0.87,4.99,4.99,473.56,473.56
monster battle,4.45,25.51,,473.26,
gemini: heroes reborn,2.62,14.99,14.99,472.14,472.14
blue-collar astronaut,1.71,9.78,9.99,471.93,484.21
it came from space and ate our brains,8.68,48.5,14.99,458.76,72.7
mountain crime: requital,2.69,14.99,,457.25,
professional construction - the simulation,4.5,24.99,,455.33,
mountain rescue simulator,5.42,29.99,,453.32,
holy potatoes! what the hell?!,2.72,14.99,,451.1,
classic racers elite,6.04,32.99,,446.19,
payday 2,7.36,39.99,,443.34,
crazy gravity,0.92,4.99,4.99,442.39,442.39
christmas race,1.3,6.99,,437.69,
alveole,0.93,4.99,4.22,436.56,353.76
pineview drive,5.62,29.99,,433.63,
edge of reality,0.79,4.2,4.99,431.65,531.65
tomb raider: legend,3.78,19.99,19.99,428.84,428.84
10 seconds to win!,0.87,4.54,4.99,421.84,473.56
hatup,1.6,8.3,4.99,418.75,211.88
raid: world war ii,7.72,39.99,39.99,418.01,418.01
realms of arkania: blade of destiny,5.9,29.99,29.99,408.31,408.31
gunstar heroes,0.99,4.99,4.99,404.04,404.04
toejam & earl in panic on funkotron,0.99,4.99,,404.04,
wonder boy in monster world,0.99,4.99,,404.04,
toejam & earl,0.99,4.99,,404.04,
streets of rage 2,0.99,4.99,24.99,404.04,2424.24
the revenge of shinobi,0.99,4.99,,404.04,
red death,0.99,4.99,4.99,404.04,404.04
underland,1.59,7.99,7.99,402.52,402.52
wanderjahr,1.99,9.99,,402.01,
wwe 2k16,5.99,29.99,,400.67,
placid plastic duck simulator,1.83,8.99,8.99,391.26,391.26
kalinur,1.27,5.99,5.99,371.65,371.65
bunny park,4.43,19.99,14.99,351.24,238.37
throw anything,15.1,67.82,,349.14,
ikkarus and the prince of sin,8.32,37.18,9.99,346.88,20.07
professional farmer: american dream,5.62,24.99,19.99,344.66,255.69
professional farmer 2017,4.5,19.99,19.99,344.22,344.22
reky,3.16,13.99,9.99,342.72,216.14
rounds,4.32,19.03,8.49,340.51,96.53
pipe connect,0.8,3.49,,336.25,
zack zero,2.99,12.99,,334.45,
heavy fire: afghanistan,2.33,9.99,,328.76,
chess brain: dark troops,0.95,3.99,3.99,320.0,320.0
sword art online: lost song,14.32,59.99,,318.92,
aircraft evolution,2.39,9.99,9.99,317.99,317.99
outbreak: the nightmare chronicles,3.39,13.99,12.99,312.68,283.19
a building full of cats,1.74,7.15,2.99,310.92,71.84
star99,2.44,9.99,9.99,309.43,309.43
air hockey,2.47,9.99,,304.45,
virtugo,0.99,3.99,,303.03,
dadish,2.48,9.99,9.99,302.82,302.82
cubic figures,3.4,13.63,,300.88,
let's sing 2016,9.99,39.99,,300.3,
sneaky rat,1.51,5.99,5.99,296.69,296.69
metagal,2.99,11.86,4.99,296.66,66.89
stellatum,2.52,9.99,9.99,296.43,296.43
crossbow: bloodnight,2.08,8.23,4.99,295.67,139.9
bottle: pilgrim redux,2.79,10.99,11.99,293.91,329.75
emme saves the galaxy,2.54,9.99,,293.31,
sokopenguin,1.27,4.99,4.99,292.91,292.91
whisper trip,3.19,12.49,3.08,291.54,-3.45
knowledge keeper,3.72,14.56,4.99,291.4,34.14
the pizza delivery boy who saved the world,4.96,19.14,5.99,285.89,20.77
drift streets japan,2.59,9.99,,285.71,
adam wolfe,5.2,19.99,,284.42,
shoppe keep,3.38,12.99,12.99,284.32,284.32
archery blast,1.3,4.99,,283.85,
skytime,0.78,2.99,,283.33,
nascar heat 3,5.28,19.99,,278.6,
explosive jake,0.79,2.99,4.99,278.48,531.65
from shadows,1.32,4.99,,278.03,
sniper elite v2 remastered,9.26,34.99,34.99,277.86,277.86
watchmen: the end is nigh part 2,4.03,14.99,,271.96,
space break,1.88,6.99,,271.81,
little mouse's encyclopedia,4.99,18.49,12.99,270.54,160.32
simulacra,3.51,12.99,11.99,270.09,241.6
state of anarchy: master of mayhem,2.16,7.99,7.99,269.91,269.91
gastro force,6.07,22.36,6.99,268.37,15.16
tp bullet,4.61,16.97,4.99,268.11,8.24
industry giant 2,6.82,24.99,39.99,266.42,486.36
suika watermelon fruits,2.77,9.99,,260.65,
three fourths home: extended edition,4.01,14.43,9.99,259.85,149.13
shadows of kurgansk,5.03,17.99,17.99,257.65,257.65
forestry 2017 - the simulation,5.62,19.99,,255.69,
panda run,1.55,5.49,,254.19,
zumba garden,1.98,6.99,,253.03,
the five covens,3.68,12.99,,252.99,
necrosmith,2.27,7.99,,251.98,
pandaty,1.99,6.99,4.99,251.26,150.75
music racer,1.99,6.99,6.99,251.26,251.26
party bingo,1.99,6.99,,251.26,
forrace gt2d,3.99,13.99,,250.63,
call of juarez: bound in blood,5.72,19.99,,249.48,
sable's grimoire: man and elf,5.62,19.39,,245.02,
poly match,2.03,6.99,,244.33,
boss rush: mythology,2.91,9.99,9.99,243.3,243.3
realms of arkania: star trail,8.74,29.99,29.99,243.14,243.14
awesome pea 3,3.97,13.62,4.99,243.07,25.69
buff knight advanced,2.36,7.99,,238.56,
the bellows,1.49,4.99,,234.9,
kitten hero,1.49,4.99,4.99,234.9,234.9
ord.,1.49,4.99,4.99,234.9,234.9
cions of vega,2.09,6.99,6.99,234.45,234.45
jet car stunts,2.4,7.99,,232.92,
heavy fire: shattered spear,3.05,9.99,,227.54,
stardust vanguards,3.06,9.99,,226.47,
conquistadorio,6.19,19.99,,222.94,
nephise: ascension,3.41,10.99,11.99,222.29,251.61
sissa's path,1.55,4.99,4.99,221.94,221.94
handball 17,7.79,24.99,9.99,220.8,28.24
mars: war logs,3.12,9.99,,220.19,
tricks magician,1.57,4.99,4.99,217.83,217.83
runbean galactic,1.57,4.99,4.99,217.83,217.83
pocket witch,1.57,4.99,4.99,217.83,217.83
the psychoduck,1.57,4.99,4.99,217.83,217.83
tomb raider: underworld,4.72,14.99,19.99,217.58,323.52
